DEBUG   |140526 06:46:55|*** Batching successive steps (nesting level 1)
DEBUG   |140526 06:46:56|====== Starting Step number 1 ======
DEBUG   |140526 06:46:56|Kettenrad :: BREAKING STEP BEFORE SWITCHING DOMAIN
DEBUG   |140526 06:46:56|AECoreDomainInit :: New instance
DEBUG   |140526 06:46:56|----- Finished operation 1 ------
INFO    |140526 06:46:56|--------------------------------------------------------------------------------
INFO    |140526 06:46:56|Akeeba Backup 3.11.0 (2014-05-06)
INFO    |140526 06:46:56|Got backup?
INFO    |140526 06:46:56|--------------------------------------------------------------------------------
INFO    |140526 06:46:56|--- System Information ---
INFO    |140526 06:46:56|PHP Version        :5.4.12
INFO    |140526 06:46:56|PHP OS             :WINNT
INFO    |140526 06:46:56|PHP SAPI           :apache2handler
INFO    |140526 06:46:56|OS Version         :Windows NT
INFO    |140526 06:46:56|DB Version         :5.6.12-log
INFO    |140526 06:46:56|Web Server         :Apache/2.4.4 (Win64) PHP/5.4.12
INFO    |140526 06:46:56|Joomla! version    :3.3.0
INFO    |140526 06:46:56|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
INFO    |140526 06:46:56|Safe mode          :
INFO    |140526 06:46:56|Display errors     :
INFO    |140526 06:46:56|Error reporting    :E_ERROR | E_PARSE
INFO    |140526 06:46:56|Error display      :off
INFO    |140526 06:46:56|Disabled functions :
INFO    |140526 06:46:56|open_basedir restr.:
INFO    |140526 06:46:56|Max. exec. time    :3000
INFO    |140526 06:46:56|Memory limit       :128M
INFO    |140526 06:46:56|Current mem. usage :13623600
INFO    |140526 06:46:56|GZIP Compression   : available (good)
INFO    |140526 06:46:56|JPATH_BASE         :<root>\administrator
INFO    |140526 06:46:56|JPATH_SITE         :<root>
INFO    |140526 06:46:56|JPATH_ROOT         :<root>
INFO    |140526 06:46:56|JPATH_CACHE        :<root>\administrator/cache
INFO    |140526 06:46:56|Computed root      :<root>
INFO    |140526 06:46:56|Output directory   :<root>/administrator/components/com_akeeba/backup
INFO    |140526 06:46:56|Part size (bytes)  :2147352576
INFO    |140526 06:46:56|--------------------------------------------------------------------------------
INFO    |140526 06:46:56|Akeeba Backup has detected the following potential problems:
INFO    |140526 06:46:56|- 203 Default output directory in use (low)
INFO    |140526 06:46:56|- 401 ZIP format selected (low)
INFO    |140526 06:46:56|You probably do not have to worry about them, but you should be aware of them.
INFO    |140526 06:46:56|--------------------------------------------------------------------------------
INFO    |140526 06:46:56|Loaded profile #1
DEBUG   |140526 06:46:56|AEArchiverZip :: New instance
DEBUG   |140526 06:46:56|Chunk size for CRC is now 1048576 bytes
DEBUG   |140526 06:46:56|Archive template name: site-[HOST]-[DATE]-[TIME]
DEBUG   |140526 06:46:56|Expanded template name: site-localhost-20140526-064656
DEBUG   |140526 06:46:56|Backup type is now set to 'full'
DEBUG   |140526 06:46:56|Expanded archive file name: <root>/administrator/components/com_akeeba/backup/site-localhost-20140526-064656.zip
DEBUG   |140526 06:46:56|Initializing archiver engine
DEBUG   |140526 06:46:56|AEArchiverZip :: initialize - archive <root>/administrator/components/com_akeeba/backup/site-localhost-20140526-064656.zip
INFO    |140526 06:46:56|AEArchiverZip :: Split ZIP creation enabled
DEBUG   |140526 06:46:56|AEArchiverZip :: CntDir Tempfile = <root>/administrator/components/com_akeeba/backup/akz6CE6.tmp
DEBUG   |140526 06:46:56|AEArchiverZip :: Killing old archive
DEBUG   |140526 06:46:56|Updating multipart status to 1
DEBUG   |140526 06:46:56|----- Finished operation 2 ------
DEBUG   |140526 06:46:56|----- Finished operation 3 ------
DEBUG   |140526 06:46:56|Successful Smart algorithm on AECoreDomainInit
DEBUG   |140526 06:46:56|Kettenrad :: Domain 'init' has finished.
DEBUG   |140526 06:46:56|====== Finished Step number 1 ======
DEBUG   |140526 06:46:56|*** Engine steps batching: Break flag detected.
DEBUG   |140526 06:46:56|*** Batching of engine steps finished. I will now return control to the caller.
DEBUG   |140526 06:46:56|Sleeping for 1667.5488948822 msec, using usleep()
DEBUG   |140526 06:46:57|Saving Kettenrad instance backend
DEBUG   |140526 06:46:58|
DEBUG   |140526 06:46:59| -- Loaded stored Akeeba Factory (backend)
DEBUG   |140526 06:46:59|====== Starting Step number 1 ======
DEBUG   |140526 06:46:59|Kettenrad :: BREAKING STEP BEFORE SWITCHING DOMAIN
DEBUG   |140526 06:46:59|AECoreDomainInstaller :: New instance
DEBUG   |140526 06:46:59|  Virtual add:installation/README.html (549) - 8
DEBUG   |140526 06:46:59|  Virtual add:installation/extrainfo.ini (162) - 8
DEBUG   |140526 06:46:59|----- Finished operation 1 ------
DEBUG   |140526 06:46:59|Initializing with JPA package <root>/administrator/components/com_akeeba/assets/installers\angie.jpa
DEBUG   |140526 06:46:59|  Adding installation/angie/application.php; Next offset:521
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/application.php (796) - 8
DEBUG   |140526 06:46:59|----- Finished operation 2 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/assets/runscripts.php; Next offset:1097
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/assets/runscripts.php (1028) - 8
DEBUG   |140526 06:46:59|----- Finished operation 3 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/controllers/dbrestore.php; Next offset:1879
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/controllers/dbrestore.php (2094) - 8
DEBUG   |140526 06:46:59|----- Finished operation 4 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/controllers/finalise.php; Next offset:2381
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/controllers/finalise.php (683) - 8
DEBUG   |140526 06:46:59|----- Finished operation 5 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/controllers/offsitedirs.php; Next offset:2935
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/controllers/offsitedirs.php (917) - 8
DEBUG   |140526 06:46:59|----- Finished operation 6 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/controllers/password.php; Next offset:3478
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/controllers/password.php (832) - 8
DEBUG   |140526 06:46:59|----- Finished operation 7 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/controllers/session.php; Next offset:3995
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/controllers/session.php (832) - 8
DEBUG   |140526 06:46:59|----- Finished operation 8 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/dispatcher.php; Next offset:4851
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/dispatcher.php (1895) - 8
DEBUG   |140526 06:46:59|----- Finished operation 9 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/helpers/select.php; Next offset:8817
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/helpers/select.php (16535) - 8
DEBUG   |140526 06:46:59|----- Finished operation 10 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/js/ajax.js; Next offset:10095
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/js/ajax.js (3646) - 8
DEBUG   |140526 06:46:59|----- Finished operation 11 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/js/database.js; Next offset:11555
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/js/database.js (4516) - 8
DEBUG   |140526 06:46:59|----- Finished operation 12 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/js/finalise.js; Next offset:12245
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/js/finalise.js (1411) - 8
DEBUG   |140526 06:46:59|----- Finished operation 13 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/js/ftpbrowser.js; Next offset:12612
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/js/ftpbrowser.js (523) - 8
DEBUG   |140526 06:46:59|----- Finished operation 14 ------
DEBUG   |140526 06:46:59|  Adding installation/angie/js/json.js; Next offset:14115
DEBUG   |140526 06:46:59|  Virtual add:installation/angie/js/json.js (3559) - 8
